display_first_last,team_name,jersey,position,height,weight,rosterstatus,from_year,to_year
Anthony Morrow,Thunder,11,Guard,6-5,210,Inactive,2008,2016
Dwayne Morton,Warriors,50,Guard,6-7,195,Inactive,1994,1994
John Morton,Cavaliers,23,Forward,6-3,180,Inactive,1989,1991
Glenn Mosley,Spurs,34,Forward,6-8,195,Inactive,1977,1978
Perry Moss,Warriors,10,Guard,6-2,185,Inactive,1985,1986
Lawrence Moten,,,Guard,6-5,185,Inactive,1995,1997
Donatas Motiejunas,Rockets,28,Forward-Center,7-0,220,Inactive,2012,2018
Johnathan Motley,Clippers,15,Forward,6-8,230,Inactive,2017,2019
Hanno Mottola,Hawks,13,Center-Forward,6-11,247,Inactive,2000,2001
Arnett Moultrie,76ers,5,Forward,6-10,240,Inactive,2012,2013
Alonzo Mourning,Heat,33,Center,6-10,261,Inactive,1992,2007
Timofey Mozgov,Nuggets,21,Center,7-1,275,Inactive,2010,2018
Chuck Mrazovich,Olympians,,Forward,6-5,185,Inactive,1950,1950
Emmanuel Mudiay,,,Guard,6-3,200,Inactive,2015,2021
Erwin Mueller,Pistons,51,Forward,6-8,230,Inactive,1966,1972
Byron Mullens,Bobcats,30,Center,7-0,275,Inactive,2009,2013
Chris Mullin,,17,Forward,,,Inactive,1985,2000
Xavier Munford,Grizzlies,0,Guard,6-4,173,Inactive,2015,2017
George Munroe,Bombers,6,Guard,5-11,170,Inactive,1946,1947
Gheorghe Muresan,Bullets,77,Center,7-7,303,Inactive,1993,1999
Ade Murkey,,,Guard,6-5,200,Inactive,2021,2021
Allen Murphy,Lakers,20,Guard,6-4,190,Inactive,1976,1976
Calvin Murphy,Rockets,23,Guard,5-9,165,Inactive,1970,1982
Erik Murphy,Bulls,33,Forward,6-10,230,Inactive,2013,2013
Jay Murphy,Clippers,42,Forward,6-9,220,Inactive,1984,1987
John Murphy,Warriors,12,Forward,6-2,175,Inactive,1946,1946
Kevin Murphy,Jazz,55,Guard,6-6,185,Inactive,2012,2012
Ronnie Murphy,Trail Blazers,34,Forward,6-5,225,Inactive,1987,1987
Tod Murphy,Timberwolves,41,Center,6-9,220,Inactive,1987,1993
Troy Murphy,,,Forward-Center,6-11,245,Inactive,2001,2012
Trey Murphy III,Pelicans,25,Forward,6-8,206,Active,2021,2023
Dejounte Murray,Hawks,5,Guard,6-5,180,Active,2016,2023
Flip Murray,SuperSonics,6,Guard,6-3,200,Inactive,2002,2009
Jamal Murray,Nuggets,27,Guard,6-4,215,Active,2016,2023
Keegan Murray,Kings,13,Forward,6-8,225,Active,2022,2023
Ken Murray,Pistons,4,Guard,6-2,190,Inactive,1950,1954
Lamond Murray,Clippers,31,Forward,6-7,235,Inactive,1994,2005
Tracy Murray,,,Forward,6-7,230,Inactive,1992,2003
